REQID,CLIENTID,REASON,LOAN,BAD,DEROG,DELINQ,CLAGE,NINQ,DEBTINC,INCOME,JOB,YOJ,CHECKING,SAVINGS,INVEST,CREDIT_SCORE
10230,11798490-owaz,HI,19800,0,2,3,166.6105316,,37.3082467,61780,Mgr,2,1,1,0,543
10250,11911461-lvmr,DC,22000,0,0,0,202.578152,1,38.71719491,45890,Other,2,0,1,1,771
10270,11976758-kmzf,HI,13800,0,0,0,68.58368974,0,36.83942264,61910,Other,1,1,1,0,743
10280,12008783-cxym,MD,15000,0,0,0,211.0333333,0,44.9662254,43525,ProfExe,10,0,0,0,355
10310,12168476-pfka,HI,12000,0,0,1,108.6339686,0,40.79745755,44715,Office,21,1,0,0,819
10330,12256944-demr,HI,7900,0,0,0,192.1211081,0,35.58605153,61810,Mgr,10,0,0,0,540
10340,12259552-ejzf,HI,12600,0,1,2,198.8467209,0,36.83774105,61970,Retired,,1,0,0,850
10350,12298830-fidk,HI,7900,0,0,0,59.08154143,0,41.07787822,52465,Retired,,1,0,1,612
10360,12307443-nhnn,DC,12800,0,1,2,143.6827959,0,31.91327241,44695,Other,1,0,0,0,663
10370,12331095-dmha,DC,15200,0,0,4,175.5373356,,26.98558122,61790,ProfExe,7,1,1,1,692
10380,12352872-qwwo,HI,11300,0,0,0,190.0312176,0,39.00867302,45465,Sales,9,1,0,0,782
10390,12363877-ilxo,DC,13600,0,0,0,115.3238836,0,36.85085748,61060,Other,9,1,1,0,667
10410,12397676-rjdh,DC,15000,0,0,1,55.96666667,0,24.11197499,43480,Other,11,1,1,0,581
10440,12437930-qpva,DC,13900,0,0,0,,0,38.39422244,61515,Office,13,0,0,1,681
10450,12438801-maqa,DC,26100,0,0,0,161.2876716,0,34.13000366,45490,Office,20,0,1,0,601
10470,12460620-myzu,DC,38200,0,0,0,61.17833505,1,40.32954242,61445,Office,20,1,1,0,705
10480,12507963-ggoq,DC,9400,0,,,129.3438245,,42.26546612,52860,Retired,,1,1,0,389
10500,12563508-hjkx,WE,6000,0,1,4,445.9490733,,32.97719723,52115,Other,3.5,0,0,0,308
10510,12566060-mifq,HI,24300,0,2,1,404.6716492,,15.52923014,45785,ProfExe,8,0,0,0,650
10520,12609100-bbkl,HI,4000,0,0,0,,0,17.37488188,52215,Office,2,0,0,0,578
10530,12623799-ymmp,DC,26000,0,0,0,290.7585045,0,36.97751891,61735,Mgr,4,0,0,0,387
10540,12634687-yupo,DC,13600,0,0,0,238.62182,3,31.55270697,52450,Office,1,1,1,0,423
10550,12756447-bhex,DC,8600,0,0,0,73.03333333,1,6.823480499,52050,Office,21,1,0,0,601
10560,12819774-zpdv,DC,30600,0,,,115.2108955,,33.07135028,40375,Other,1.5,0,1,0,493
10580,12946164-eykf,DC,18100,0,0,0,154.4259959,0,33.67802577,61205,Other,6,0,0,0,799
10590,13010855-iblq,HI,9700,0,0,0,308.9955757,1,41.41428065,43345,Other,,1,0,1,818
10600,13038538-bcaa,DC,20800,0,0,4,174.9585772,0,37.48854569,40745,Mgr,3.5,1,0,1,698
10620,13102478-dxwe,HI,25000,0,0,0,116.6333333,2,43.84688592,43745,,0,0,1,0,773
10630,13147311-wmcy,DC,17300,0,0,0,147.5533245,2,36.42721874,61165,Other,4,1,0,0,612
10640,13176632-mpjd,HI,6500,0,2,5,115.3666667,1,36.10102975,61970,Sales,5,1,0,0,414
10650,13187609-vbgf,HI,51100,0,2,0,269.3359755,6,41.08753538,43025,Other,12,1,0,0,657
10670,13283316-gzfz,DC,13800,0,0,0,230.4575544,10,33.38331418,222885,Mgr,10,1,0,0,565
10680,13306474-nklr,HI,13500,0,0,1,98.41775325,0,39.2941028,258190,Other,0,1,0,0,799
10690,13311150-xdkx,DC,9000,0,0,0,75.38855124,1,30.49800512,483455,Other,2,1,0,0,841
10700,13332609-cnby,DC,20500,0,0,0,176.3666652,1,37.86483283,52510,Sales,4,0,0,0,777
10710,13360135-kqje,HI,5000,0,0,0,258.7616067,,48.69203818,46750,,6,1,0,0,385
10720,13388581-oryc,DC,35200,0,0,1,183.3734524,2,40.7798487,43585,Other,3,0,0,1,705
10730,13502300-hkra,DC,42900,0,0,0,160.7297557,0,39.46919961,91105,Sales,3,0,1,0,797
10740,13523113-yabm,HI,27700,0,0,0,87.00250011,0,84.61388869,63435,Other,2,0,0,0,548
10750,13526988-jjgj,DC,12000,0,0,0,288.5298732,0,22.42300246,58635,,,0,0,0,375
10760,13538910-fonq,HI,18500,0,1,0,178.6456365,0,30.93141022,49390,Other,4,1,0,0,841
10770,13551772-kxzz,HI,9500,0,0,0,89.10283861,0,31.35390694,43455,Other,1,1,1,0,796
10780,13560696-fmgv,HI,11000,0,0,0,440.4212537,0,26.90476645,61840,,0,0,0,0,394
10800,13579376-kghb,HI,12100,0,0,2,191.5692916,0,29.20449956,52685,Other,6,0,1,0,540
10810,13586458-iheh,HI,15600,0,0,0,90.3276282,1,29.67474957,47925,Other,6,0,0,1,748
10820,13595475-ewke,DC,15500,0,0,0,298.476411,0,39.30720132,57570,Mgr,2,0,0,0,416
10830,13649006-hbko,DC,18100,0,0,0,73.74671053,3,31.57101889,51110,Other,2,0,1,1,680
10840,13660306-vozd,DC,8000,0,1,1,33.43333333,9,16.39308774,57485,ProfExe,0.1,0,0,0,413
10850,13688576-lhzz,DC,8800,0,0,0,108.9,0,11.82025099,176290,ProfExe,6,0,0,0,407
10860,13709753-emvm,HI,42000,0,0,0,102.5,1,14.82367962,76125,Mgr,3,1,0,0,564
10880,13734091-cemj,DC,17900,0,1,2,138.0110083,0,38.2892023,71385,ProfExe,7,0,0,0,682
10890,13738127-hrqa,HI,38600,0,0,0,149.8811289,0,35.58278883,62605,ProfExe,9,0,0,0,437
10910,13843413-dubz,DC,15000,0,0,0,111.6,2,15.06895684,44980,,,0,0,0,669
10950,13898737-mfax,DC,12600,0,0,0,190.1599072,1,29.26631718,75980,Other,4,1,0,0,300
10960,13979502-mhle,DC,14200,0,0,0,127.0600081,1,31.33876448,50935,ProfExe,7,0,0,0,386
10970,14012958-zkui,HI,20000,0,0,0,122.6666667,2,18.85362209,80555,Mgr,0.4,1,0,0,767
10980,14071516-czhb,DC,14500,0,0,0,178.6,0,9.316553385,61190,Mgr,5,0,0,0,598
11000,14134707-zlwu,DC,26800,0,2,1,114.4619553,7,2.83029717,45950,Office,3,0,1,0,807
11010,14167953-veml,DC,47000,1,0,1,181.9333333,3,3.040172468,61760,Mgr,13,1,1,0,651
11020,14168126-xauf,DC,18100,0,0,0,175.8953545,0,37.94552227,61960,Other,17.5,0,1,0,606
11040,14195541-kzlh,DC,32700,0,0,0,197.9863148,0,41.52909627,61690,Other,6,1,0,0,797
11050,14252586-pqwc,HI,11200,0,0,0,144.7952204,0,33.8858765,52780,Other,4,0,0,0,799
11070,14324676-eauh,DC,11000,0,0,0,215.4317939,3,36.5693479,64240,Other,1,0,1,0,427
11110,14450483-qazk,DC,9000,0,0,0,126.309835,0,33.75846632,44625,Other,3,1,0,1,676
11120,14472490-ddcf,DC,18200,0,0,0,67,2,48.690317,69840,Other,,0,0,0,483
11130,14474771-drwr,DC,15700,0,0,0,178.8913882,0,23.74406826,74130,ProfExe,24,1,0,0,601
11140,14485485-yeur,DC,10700,0,0,1,178.6374675,0,31.88893638,78640,ProfExe,15,0,0,0,810
11150,14495622-ooez,DC,11000,0,0,0,155.3712203,4,42.53968571,46630,Office,13,0,0,0,684
11170,14501003-bcll,HI,11100,0,0,0,125.7657749,0,35.50677407,43535,Mgr,6,0,0,0,797
11180,14522421-ppgd,DC,15900,0,0,0,230.6730803,2,30.10831743,68015,ProfExe,0.1,0,1,0,337
11190,14532367-rmdw,DC,20700,0,0,0,114.0118385,0,40.76214878,45155,ProfExe,1.4,0,1,0,770
11200,14559904-dxkv,WE,5700,0,3,0,183.9182738,,24.27486528,44190,Other,2,0,0,0,478
11210,14632423-ozzi,DC,20900,0,0,0,67.32456202,6,38.51325618,102420,Other,8,1,0,0,816
11240,14674675-hhdw,DC,15500,1,7,4,95.9,2,44.5783639,47460,,5,0,0,0,685
11260,14755182-mhvh,DC,18700,0,0,0,315.2604995,0,39.67583359,78705,Other,2,0,1,0,406
11270,14763311-pfcy,DC,22200,0,0,0,288.4596954,0,37.74701961,52380,Other,2,0,1,0,439
11280,14773006-lqeu,HI,15600,0,0,0,128.0295993,0,28.48485856,49925,ProfExe,7,1,0,1,541
11290,14794200-xwha,DC,24500,0,0,1,108.6501412,0,26.12743668,50070,Other,10,1,0,0,535
11300,14814756-zieo,HI,17500,0,0,0,126.0794526,0,34.10902705,45195,Other,1,1,1,0,789
11310,14833740-exir,DC,21500,0,0,0,128.6427857,0,34.28267592,49150,Other,2,1,0,0,427
11330,14878789-bbpj,DC,19300,1,1,0,167.6579808,1,35.08607055,46760,Other,0,1,1,0,510
11340,14889622-wmmi,HI,8200,0,0,0,123.2860249,0,35.87534399,49370,Other,0,0,1,0,500
11350,14938957-kefw,DC,8900,0,0,0,144.0370039,0,33.90846584,76985,Other,0,1,0,1,489
11370,14983519-zwnl,DC,16200,0,0,0,167.429347,0,23.69115685,78605,Other,2,0,1,0,481
11380,14990678-wboz,HI,23600,0,0,0,357.8050619,0,30.56428034,45025,Other,0,1,1,0,507
11390,15006459-mfoi,DC,26100,0,0,,79.33145984,,20.51714628,51970,Self,,0,1,0,548
11400,15018154-dzmh,DC,15000,0,0,0,239.5,0,36.76961083,51365,Other,0,1,0,0,560
11420,15055684-ppdb,DC,7500,1,0,1,124.1333333,1,16.51992253,49620,Mgr,10,0,0,0,487
11430,15057529-vxmk,HI,11900,0,0,0,250.4682419,0,30.30538811,46365,Other,0,0,0,0,752
11440,15070175-krqf,DC,7900,0,1,0,110.0718569,1,25.40901671,61090,Mgr,10,0,0,0,793
11450,15137327-goxp,DC,11600,0,0,3,201.369922,3,35.79580494,58590,ProfExe,0,0,0,0,724
11470,15229856-nmrz,DC,14000,0,0,0,186.9993588,2,25.81001106,61545,,5,1,1,1,685
11480,15233348-wdgh,HI,17000,1,0,0,111.2350118,0,31.36287239,73200,Office,1,1,0,1,540
11490,15240102-aaob,DC,24700,0,0,0,73.71525064,1,35.44157026,62000,ProfExe,5,0,0,0,470
11510,15258924-rpkm,DC,23100,0,,0,314.066374,1,38.04372621,51440,Other,4,0,1,0,530
11530,15303690-xfvg,DC,15300,0,0,0,213.2860218,0,36.29035353,49040,Other,8,0,0,0,350
11540,15337714-qdyj,HI,26500,0,0,0,229.3070258,1,37.740919,51530,ProfExe,22,1,0,0,406
11550,15364520-ebuq,DC,24400,1,0,2,229.3,7,32.69235471,68475,Retired,,0,0,0,609
11560,15485233-ulih,DC,22700,0,0,1,109.5702924,3,34.61442256,45960,Other,,0,1,0,656
11580,15503128-ylhh,HI,11100,0,0,0,239.0505566,0,20.96127294,60100,Mgr,5,0,1,0,656
11590,15523086-xhvq,HI,27100,0,0,0,92.51403036,2,29.74190894,55450,ProfExe,6,1,0,0,485
11600,15525845-dpru,HI,10500,0,0,0,182.3539,1,34.98345933,66950,,5,0,1,0,477
11610,15561266-rllb,HI,5300,1,0,0,302.3587095,0,39.1969854,68400,Other,4,0,0,1,665
11620,15573902-cvxx,DC,11800,0,0,0,74.15604508,0,42.81224294,47965,Office,1,1,0,0,538
11630,15674215-yfhg,HI,14900,0,0,0,279.2407514,0,36.19837544,62990,Sales,4,1,0,1,660
11640,15674741-dpzz,DC,18500,0,0,0,282.9006093,1,40.0388411,51435,ProfExe,14,0,1,0,481
11670,15792427-joky,DC,16800,0,0,1,335.3003273,,36.21162681,56580,Self,,1,1,1,647
11680,15797539-fyio,DC,15900,0,,1,285.3869287,0,36.05038237,47580,Office,23,0,1,0,833
11700,15825272-cfpy,HI,11000,0,0,0,241.0607911,0,25.21859995,58650,Other,7,0,0,1,407
11710,15861441-wvyp,DC,16000,0,0,0,366.2666667,1,24.91778913,58690,Office,0,1,0,1,359
11720,15869201-owuv,DC,10800,0,0,0,171.7595791,2,33.22779359,77995,Sales,0.1,0,0,1,398
11740,16016219-ofud,HI,7300,0,0,0,240.0567715,2,31.7246985,57975,Sales,0,0,0,0,763
11750,16032762-fxno,HI,4900,0,0,0,112.5734189,0,41.67399636,50715,Other,3,0,0,0,641
11760,16037640-qknu,DC,8400,0,0,0,210.5800148,1,32.57186729,63335,ProfExe,0,0,0,1,481
11770,16095441-iuax,DC,26300,0,0,0,195.8476245,2,36.01849565,49650,Other,0,0,0,0,622
11780,16111107-azmn,DC,25700,0,2,1,104.5662029,2,29.29663349,49000,,,0,0,0,435
11790,16198879-pjxo,DC,19900,0,0,0,242.3654026,0,39.44625142,48530,Other,2,0,1,1,764
11800,16243369-wple,HI,31700,0,,,117.4739215,10,41.51283589,68740,Mgr,18,0,0,0,809
11830,16284519-qiei,DC,24400,0,0,0,197.9695585,0,33.13017589,62155,Sales,,1,0,0,392
11840,16299874-fvho,DC,15900,0,0,0,156.1013809,2,27.80854709,66465,,,1,0,0,764
11850,16307181-ajya,HI,7300,0,,,411.9520505,1,40.39647435,62030,Office,1,1,1,0,409
11860,16315559-vpbf,DC,15800,0,,,85.27403355,2,33.56526399,58385,Other,7,1,1,0,561
11880,16320438-jlqf,DC,13600,0,0,0,255.3787569,4,41.62539858,44070,,1,0,0,0,794
11890,16366647-rlzc,DC,5100,0,0,0,277.9445608,1,23.64469128,55040,ProfExe,2,0,1,0,400
11900,16393886-wxpz,DC,25000,0,0,0,129.5495932,0,29.42773368,58630,Other,2,0,1,1,655
11920,16412704-kjyu,DC,14500,0,0,0,250.4522894,10,36.87623453,73530,Other,4.5,0,1,0,625
11950,16500299-jxmr,HI,31100,0,,,119.5395184,10,42.82660083,62155,Other,22.8,0,0,0,522
11970,16553771-mbfm,HI,13900,0,0,0,297.9070847,1,25.94071095,58985,Other,0.1,0,1,1,516
11980,16571356-wybw,HI,17700,0,0,1,271.3966671,0,27.2833953,60810,ProfExe,6,0,0,1,616
11990,16579891-qdjo,HI,20900,0,0,0,123.1148817,1,20.78174123,74140,Mgr,3,1,0,0,352
12000,16584632-axhf,HI,19900,0,0,0,197.923806,0,35.33060397,46590,Mgr,6,0,0,1,761
12010,16596308-zuvd,HI,23400,0,2,0,240.9999999,,28.97862141,45485,,,0,0,1,838
12020,16623923-pajy,HI,18000,0,0,0,202.9,0,25.7452426,61940,Office,22,0,1,0,768
12030,16654805-vdwi,HI,3200,1,0,0,298.131564,0,35.55353879,61460,Other,5,0,1,0,694
12040,16666634-ewci,HI,77400,1,0,2,73.46963001,3,40.92979326,46645,Other,1,1,1,0,764
12060,16696456-afxr,DC,12600,0,0,0,141.6131456,2,40.74903888,48745,Sales,3,0,0,0,599
12070,16705447-ueyu,DC,9000,1,0,1,137.7840036,0,28.45471286,52420,ProfExe,0,0,1,1,788
12090,16742412-awox,DC,24900,1,0,0,293.2333333,0,31.26023847,52215,Sales,4,0,0,0,586
12100,16801648-orvd,DC,7000,0,0,0,90.38040908,3,36.30952679,63600,,,0,0,0,629
12110,16811895-bevk,BU,10000,1,0,1,179.1,2,14.85384199,58615,Other,5,0,0,0,626
12120,16825948-ljel,DC,7900,0,0,0,116.3094934,0,35.42979658,61000,ProfExe,5,1,1,0,515
12130,16830705-kcfb,DC,5100,0,0,0,258.7892976,0,26.72234334,45895,,2,0,0,1,826
12140,16845133-hcmi,DC,21400,0,1,0,172.0310693,0,19.63706875,40020,Other,,0,1,0,521
12150,16902794-fxoy,DC,10800,0,2,3,320.6556783,,35.26543738,52290,Self,3,0,0,0,516
12170,16904626-xbug,DC,21400,0,0,4,173.5751047,0,37.82317309,47955,,4,1,0,0,524
12180,16916872-yjri,DC,27100,0,1,0,92.14002902,6,33.5355472,40195,,,0,0,0,479
12190,16937739-kxkm,DC,20600,0,0,0,146.839968,0,33.94558615,40735,ProfExe,9,0,1,0,670
12210,17051148-leaz,HI,10800,0,2,1,346.9796514,1,16.48162968,43510,ProfExe,13,0,0,0,475
12220,17082271-zwmz,HI,9100,0,1,1,228.3963399,1,35.18184074,61140,Other,,1,0,1,478
12230,17096070-xugj,DC,15000,1,2,1,91.26666667,1,50.40917374,63075,Other,24,0,0,1,712
12270,17166984-qwzb,DC,16600,1,1,3,209.9666667,0,49.96975494,61600,Sales,3,1,0,0,307
12290,17192193-hyzf,HI,12700,0,0,0,302.8700505,1,27.98946659,46515,Other,8,0,0,0,371
12300,17192568-mimw,AF,10400,0,0,0,260.7972622,0,27.94286603,61165,Other,0,1,0,0,763
12310,17212927-nhmm,DC,23300,1,0,1,153.2333333,6,18.71886022,61585,ProfExe,12,1,0,0,751
12320,17222366-wccd,DC,19900,0,,,178.574866,,37.72580119,52225,Other,8,0,0,1,827
12340,17281252-lvog,DC,14400,0,0,0,83.2,3,36.09455131,43060,Self,,0,0,0,630
12350,17304969-jwme,DC,24000,0,,,193.1196811,5,39.59359522,46335,Mgr,3,0,0,0,479
12370,17332762-ewic,HI,65800,0,0,0,113.0698235,0,39.91878984,52110,Other,,0,0,0,606
12390,17392612-ajqd,DC,31700,0,0,0,177.2769279,1,35.30277411,43310,ProfExe,1,1,0,0,579
12410,17398837-gvgz,DC,10000,0,2,3,183.6666667,3,16.41301132,44525,ProfExe,0,0,1,1,613
12420,17404288-vjja,HI,41600,0,0,0,304.9828841,3,43.36362433,61120,,4,1,1,0,483
12430,17416434-obev,DC,21700,0,0,0,64.50842359,6,38.07896313,43845,Other,14,1,0,0,761
12440,17443475-zdqv,BU,4400,0,2,3,315.279587,,22.6499923,43225,Other,15,0,0,0,522
12460,17460007-mhhj,HI,66500,0,0,0,113.9844467,0,39.82143976,61930,Office,29,0,1,0,416
12490,17523969-uuuo,DC,14900,0,0,0,275.2831155,5,39.32388512,61900,ProfExe,27,1,0,0,554
12510,17702467-jzzd,HI,7000,0,0,0,209.9862995,0,21.91795226,44805,ProfExe,4,1,0,0,528
12520,17717958-hkng,HI,15200,0,0,1,270.2858992,0,29.16014082,45185,Other,0,0,0,0,567
12530,17718593-jdkz,DC,17400,0,0,0,174.1014596,1,37.6335491,43325,,3,0,1,0,550
12540,17726964-dvdz,DC,10000,1,0,0,118.6666667,6,25.79385631,40125,Other,5,1,1,0,403
12560,17823443-aedo,DC,17700,0,0,0,70.22587032,0,36.02327677,43800,Office,23,0,0,0,623
12570,17879732-fbig,DC,13800,0,0,0,295.7213173,0,29.96660243,44815,,0,0,0,0,374
12580,17881976-ohwi,DC,36800,0,0,0,,6,34.98501256,45305,ProfExe,5,1,0,0,567
12590,17895989-yulj,HI,15600,0,0,0,261.0214154,0,34.97887956,50990,Other,6,0,0,0,650
12600,17939733-vgzi,DC,20800,0,0,0,103.0311295,1,21.30427209,40110,Other,2,1,0,0,589
12610,17962710-bpih,HI,9300,0,0,1,243.8307278,1,35.96828075,43040,Other,19,0,0,0,522
12620,17962947-ulok,DC,30300,0,1,0,248.980672,1,40.36185207,52550,Office,21,0,1,1,762
12640,17973114-hxro,DC,19600,0,0,0,223.6033292,1,33.7552728,44385,Office,1,0,1,1,651
12650,18007899-ghzy,DC,13100,0,0,0,240.4102919,3,40.73560441,43625,Mgr,4,0,0,0,350
12660,18012116-clrp,DC,16000,0,0,0,207.2028505,1,42.5730795,52100,Office,20,1,0,1,780
12670,18017602-gvrf,DC,13900,0,0,0,153.0875555,0,40.19530694,61990,ProfExe,13,1,1,0,385
12680,18034100-oiwx,HI,9100,1,0,0,109.5356355,7,23.08290534,43395,ProfExe,11,1,0,0,654
12720,18100329-ucbn,DC,25500,0,1,0,308.9581984,1,34.357866,47535,Mgr,3.5,0,0,1,828
12750,18203342-doif,DC,10300,0,0,0,157.5196371,1,33.99236607,52245,Other,0,1,0,0,655
12770,18222949-gjjn,DC,28900,0,1,0,229.7532224,2,40.63187139,47535,Other,5,0,0,0,574
12780,18228749-uuhg,HI,6400,0,,,177.591354,,26.1209597,61820,Sales,2,1,0,1,680
12790,18265824-bden,HI,23800,0,0,0,119.7119548,2,19.62452779,52240,Office,24,0,1,0,756
12800,18272582-kqnb,HI,5000,0,,,178.6925087,,26.44819746,61600,Other,1,0,1,1,361
12820,18284232-bigf,DC,20800,0,1,0,67.69193855,3,36.06123372,40680,Other,,0,0,0,788
12830,18298903-yokp,HI,4100,1,0,0,100.7746522,0,33.8409199,61555,Other,9,0,0,0,638
12870,18416568-pkai,DC,28100,1,0,1,129.1666667,1,35.80603127,52475,ProfExe,5,1,0,0,607
12880,18461136-xrly,DC,10200,0,0,0,259.1638196,0,21.25349814,48725,Other,22,1,1,0,605
12890,18474848-vgzv,DC,22400,0,0,0,219.4892985,0,41.14904123,43135,ProfExe,7,0,1,0,628
12900,18510544-owin,HI,15800,0,0,0,249.9837678,0,42.43556267,40390,Mgr,10,0,1,1,306
12920,18597832-gdyd,HI,11100,1,0,0,,2,18.65484674,52460,Other,5,0,0,0,542
12930,18611723-mgic,DC,23400,0,0,0,284.7815723,2,35.9367948,44545,Other,4,0,1,0,499
12940,18613098-kxfo,DC,17100,0,0,0,247.2958966,0,25.63211643,40880,Office,6,1,0,0,337
12950,18634179-chqe,DC,25900,0,1,0,188.3758019,5,40.50485505,46380,Office,17,0,0,0,827
12960,18636989-jnan,DC,12700,0,0,0,137.4386924,0,31.60310093,61035,Office,1,0,0,0,700
12980,18678238-gral,DC,10900,0,0,1,404.9043933,0,23.61012437,52055,Other,5,0,0,1,784
13000,18754649-joyw,DC,17200,0,0,0,140.973401,0,28.6621734,52700,Other,16,0,0,0,423
13010,18837743-uobb,HI,13000,1,0,0,19.33333333,7,48.34141069,209885,ProfExe,14,0,1,0,692
13020,18843548-fzdn,HI,7500,1,,5,299.5666667,2,10.84428621,171065,Mgr,11,0,0,1,802
13030,18859071-qgzu,DC,28500,0,0,0,102.5670171,6,35.67150508,110090,ProfExe,15,0,0,1,665
13040,18868780-mben,DC,52800,0,0,0,91.13322531,1,40.66968682,98505,Office,0.6,0,0,0,791
13050,18891047-kvuv,HI,40700,0,0,0,316.6044418,3,41.72389922,99460,Other,6.5,0,0,1,823
13070,19012127-zboh,DC,20800,0,0,0,50.29354716,7,38.12040471,44145,Other,1,0,0,0,765
13080,19043702-wckj,DC,10200,0,1,0,115.7806282,1,22.31370515,178040,Other,4,0,0,0,761
13090,19058379-rqbz,DC,14600,1,1,,93.33333333,3,44.02983229,123255,Other,20,0,0,0,425
13110,19108615-hkxf,DC,27800,0,0,0,137.2340443,1,24.52237465,61530,Office,21,1,0,0,524
13130,19184231-zfjm,HI,8700,0,0,0,105.1022551,0,36.44893885,61960,,19,0,0,0,625
13150,19192079-bail,DC,23700,1,1,0,138.9666667,2,29.31948103,52660,Other,8,1,1,1,308
13160,19230447-kcpc,HI,18600,1,0,0,46.94616405,0,40.8529275,61495,ProfExe,14,0,0,0,620
13180,19274322-bebx,HI,25600,0,0,0,187.8714209,0,40.03321863,61895,Other,14,0,0,0,651
13190,19274502-vfkk,HI,6900,0,,,311.8698993,,30.79062077,61550,ProfExe,8,0,0,0,439
13230,19356188-ghai,DC,27200,0,1,0,186.7785479,3,34.81068944,44250,Office,1,1,0,1,763
13240,19358055-codp,DC,18000,0,0,0,219.1666667,4,35.06195957,46670,Other,0,1,0,1,819
13250,19380336-bndo,DC,27900,0,0,0,282.7596984,1,38.26657321,43090,Other,3,0,0,0,422
13260,19387599-wihe,HI,12500,0,0,0,309.4,1,32.77487143,45255,Other,2,0,1,0,825
13270,19404725-jlab,HI,6800,0,0,0,208.420843,0,19.33336736,52645,ProfExe,1.5,1,1,0,674
13280,19415818-ngkr,DC,22600,1,0,0,259.319755,1,27.74405551,61600,ProfExe,6,1,1,0,628
13290,19432633-acec,HI,11500,0,0,0,191.3968875,0,34.36865089,52475,Other,14,1,0,0,472
13300,19546068-ljhm,HI,14000,0,0,0,115.6,1,20.74831806,61480,Other,10,0,1,0,643
13310,19611501-figl,DC,21400,0,0,0,180.4173542,0,17.49570049,61780,Mgr,6,0,0,0,352
13320,19630137-zxxe,HI,20100,1,0,2,326.4904903,,40.10630054,43100,Other,10,0,0,0,671
13330,19650873-zlwl,HI,11300,0,0,0,122.423011,,18.24476142,45890,ProfExe,0,0,0,0,758
13350,19739046-rpag,DC,25600,0,,,100.6768656,,28.11606742,61910,Other,2,0,0,1,762
13360,19812783-ifmg,DC,16900,0,0,0,279.1125847,1,29.64517729,43525,ProfExe,11,1,0,0,721
13370,19817352-leky,DC,13400,0,3,0,71.44366499,1,24.47029999,52440,ProfExe,0,0,0,0,678
13380,19822254-hvel,DC,12800,0,0,0,159.3541041,1,40.1115783,61605,Office,0,0,0,0,626
13390,19856402-wgxn,DC,10600,0,0,0,77.11428511,0,32.58746565,44715,Other,4,0,0,0,710
13400,19903295-yecq,HI,11200,0,0,0,221.4180934,0,25.46264153,40795,Sales,0,0,0,0,676
13410,19931198-mzir,ME,9100,0,1,0,183.2317489,,23.94251651,61810,Mgr,19,0,0,1,759
13420,19949158-bpdh,DC,31200,0,0,0,171.2144163,1,43.17681901,61970,ProfExe,4,0,0,0,674
13430,19970526-qknr,DC,18500,0,,,135.5729778,,33.46387238,52465,Other,16,0,1,0,529
13440,20006389-amuu,HI,15800,0,0,0,116.7631844,4,35.11315049,44695,Other,4,0,1,0,661
13450,20010875-yyfv,HI,9600,0,0,0,120.6445586,0,35.98492935,61790,Other,1,1,1,1,358
